solutions :-

-----------------------------
(submission_date, submission_id, hacker_id, score)
2016-03-01 48 650 0
2016-03-01 119 3162 0
2016-03-01 141 4413 0
2016-03-01 203 5478 0
2016-03-01 215 5509 0
2016-03-01 252 5990 0
2016-03-01 264 7460 0
2016-03-01 348 7865 0
2016-03-01 395 7897 0
2016-03-01 452 7978 0
2016-03-01 460 8150 0
2016-03-01 485 9630 0
2016-03-01 522 11209 0
2016-03-01 798 12371 0
2016-03-01 807 12423 0
2016-03-01 908 19773 0
2016-03-01 971 19963 0
2016-03-01 998 20811 0
2016-03-01 1119 20888 0
2016-03-01 1123 21372 0
2016-03-01 1172 22165 0
2016-03-01 1236 22917 0
2016-03-01 1352 22949 0
2016-03-01 1374 24095 0
2016-03-01 1380 24576 0
2016-03-01 1385 26093 0
2016-03-01 1410 26468 0
2016-03-01 1625 27064 0
2016-03-01 1648 30082 0
2016-03-01 1666 32455 0
2016-03-01 1667 33323 0
2016-03-01 1706 33863 0
2016-03-01 1712 34234 0
2016-03-01 1736 34369 0
2016-03-01 1749 36594 0
2016-03-01 1760 37997 0
2016-03-01 1786 38962 0
2016-03-01 1871 41057 0
2016-03-01 1898 42973 0
2016-03-01 1906 44791 0
2016-03-01 2023 48490 0
2016-03-01 2072 49340 0
2016-03-01 2172 51132 0
2016-03-01 2178 51548 0
2016-03-01 2316 53342 0
2016-03-01 2350 54113 0
2016-03-01 2470 54408 0
2016-03-01 2520 55374 0
2016-03-01 2521 56707 0
2016-03-01 2624 81338 85
2016-03-01 2676 83509 95
2016-03-01 2686 81314 10
2016-03-01 2823 26955 35
2016-03-01 2947 91573 55
2016-03-01 3231 26170 10
2016-03-01 3235 89164 65
2016-03-01 3266 92239 20
2016-03-01 3394 67815 40
2016-03-01 3459 59792 10
2016-03-01 3483 56909 95
2016-03-01 3498 5026 50
2016-03-01 3507 80744 0
2016-03-01 3517 84441 90
2016-03-01 3518 70115 15
2016-03-01 3560 89737 95
2016-03-01 3565 18050 0
2016-03-01 3580 53295 75
2016-03-01 3584 19516 95
2016-03-01 3588 11587 20
2016-03-01 3595 42225 15
2016-03-01 3603 64790 70
2016-03-01 3682 37492 40
2016-03-01 3688 25226 70
2016-03-01 3706 95648 15
2016-03-01 3784 83913 65
2016-03-01 3786 83968 100
2016-03-01 3845 54045 75
2016-03-01 3891 22750 100
2016-03-01 3939 39091 0
2016-03-01 3941 98981 65
2016-03-01 4005 16014 15
2016-03-01 4009 94251 15
2016-03-01 4016 62640 30
2016-03-01 4081 31247 85
2016-03-01 4133 97530 100
2016-03-01 4184 66648 20
2016-03-01 4270 79278 35
2016-03-01 4303 92654 15
2016-03-01 4451 8878 55
2016-03-01 4523 2697 100
2016-03-01 4533 34294 65
2016-03-01 4575 22467 70
2016-03-01 4598 3124 70
2016-03-01 4624 73695 30
2016-03-01 4651 21743 5
2016-03-01 4683 95335 60
2016-03-01 4748 83371 40
2016-03-01 4798 81314 80
2016-03-01 4921 58141 90
2016-03-01 4952 75233 35
2016-03-01 5003 433 25
2016-03-01 5006 77217 75
2016-03-01 5137 43192 100
2016-03-01 5270 78993 60
2016-03-01 5284 81314 35
2016-03-01 5320 53072 25
2016-03-01 5336 6030 70
2016-03-01 5386 79136 25
2016-03-01 5406 57527 55
2016-03-01 5408 31263 15
2016-03-01 5640 41618 20
2016-03-01 5698 22780 45
2016-03-01 5712 88484 30
2016-03-01 5848 63800 60
2016-03-02 5851 650 0
2016-03-02 5970 3162 0
