task_id,start_date,end_date
1,10/14/2022,11/26/2022
2,2/7/2022,2/2/2022
3,6/19/2022,5/18/2022
4,1/13/2022,11/16/2022
5,4/17/2022,1/26/2022
6,8/29/2022,5/15/2022
7,3/10/2022,2/9/2022
8,11/6/2022,11/20/2022
9,5/7/2022,9/7/2022
10,7/16/2022,2/2/2022
11,10/19/2022,4/21/2022
12,10/18/2022,12/8/2022
13,12/26/2021,3/16/2022
14,2/19/2022,4/6/2022
15,1/1/2022,4/9/2022
16,3/13/2022,4/29/2022
17,9/14/2022,4/19/2022
18,8/1/2022,8/1/2022
19,10/29/2022,5/30/2022
20,8/13/2022,2/28/2022
21,3/24/2022,10/23/2022
22,1/25/2022,7/17/2022
23,3/25/2022,11/5/2022
24,7/3/2022,6/14/2022
25,2/16/2022,8/4/2022
26,8/10/2022,6/14/2022
27,8/23/2022,11/10/2022
28,10/3/2022,7/20/2022
29,2/14/2022,10/6/2022
30,10/27/2022,11/25/2022
31,6/1/2022,9/26/2022
32,9/5/2022,8/19/2022
33,11/12/2022,6/25/2022
34,9/21/2022,3/22/2022
35,3/10/2022,7/19/2022
36,12/9/2022,6/16/2022
37,3/22/2022,11/20/2022
38,5/7/2022,7/5/2022
39,9/6/2022,4/20/2022
40,9/24/2022,9/10/2022
41,7/17/2022,4/24/2022
42,5/23/2022,8/11/2022
43,1/9/2022,4/22/2022
44,10/22/2022,9/6/2022
45,1/9/2022,6/18/2022
46,12/4/2022,10/16/2022
47,1/3/2022,5/18/2022
48,5/26/2022,8/22/2022
49,7/10/2022,1/6/2022
50,11/25/2022,4/15/2022
51,8/23/2022,8/31/2022
52,3/19/2022,6/13/2022
53,4/11/2022,4/22/2022
54,1/9/2022,5/12/2022
55,6/23/2022,12/18/2021
56,3/30/2022,10/30/2022
57,11/21/2022,1/25/2022
58,9/13/2022,5/15/2022
59,11/11/2022,12/27/2021
60,1/1/2022,10/3/2022
61,11/21/2022,8/7/2022
62,12/28/2021,6/2/2022
63,7/22/2022,3/21/2022
64,8/24/2022,11/19/2022
65,7/31/2022,3/25/2022
66,1/26/2022,8/26/2022
67,2/28/2022,11/6/2022
68,9/6/2022,11/12/2022
69,9/30/2022,12/3/2022
70,7/14/2022,1/11/2022
71,7/9/2022,1/25/2022
72,7/27/2022,5/31/2022
73,1/26/2022,8/19/2022
74,9/4/2022,11/10/2022
75,12/27/2021,7/16/2022
76,12/31/2021,4/5/2022
77,5/29/2022,5/31/2022
78,9/24/2022,5/26/2022
79,4/18/2022,5/19/2022
80,12/23/2021,6/20/2022
81,2/1/2022,11/26/2022
82,8/19/2022,12/31/2021
83,10/29/2022,8/13/2022
84,7/15/2022,12/1/2022
85,2/6/2022,2/9/2022
86,12/3/2022,2/20/2022
87,11/12/2022,11/29/2022
88,5/4/2022,12/25/2021
89,10/20/2022,9/22/2022
90,8/7/2022,11/7/2022
91,9/13/2022,8/17/2022
92,9/20/2022,4/26/2022
93,12/25/2021,12/4/2022
94,6/7/2022,3/27/2022
95,9/24/2022,7/20/2022
96,9/14/2022,12/26/2021
97,10/8/2022,6/17/2022
98,5/17/2022,12/13/2022
99,6/7/2022,4/21/2022
100,4/25/2022,7/7/2022
101,10/11/2022,1/18/2022
102,1/11/2022,9/22/2022
103,7/21/2022,8/14/2022
104,3/2/2022,12/28/2021
105,8/31/2022,3/21/2022
106,9/2/2022,7/10/2022
107,8/8/2022,3/22/2022
108,2/22/2022,2/16/2022
109,12/7/2022,7/27/2022
110,11/11/2022,6/20/2022
111,5/3/2022,10/15/2022
112,8/24/2022,5/29/2022
113,9/9/2022,12/30/2021
114,8/1/2022,5/30/2022
115,11/30/2022,8/9/2022
116,8/11/2022,10/27/2022
117,3/7/2022,12/28/2021
118,9/18/2022,10/24/2022
119,10/7/2022,2/2/2022
120,3/11/2022,9/21/2022
121,12/16/2021,8/23/2022
122,8/3/2022,5/21/2022
123,1/6/2022,2/4/2022
124,11/11/2022,5/3/2022
125,9/12/2022,10/3/2022
126,5/7/2022,12/14/2022
127,7/29/2022,9/9/2022
128,3/16/2022,1/29/2022
129,3/20/2022,12/6/2022
130,10/26/2022,12/16/2021
131,1/17/2022,11/14/2022
132,7/13/2022,7/29/2022
133,12/3/2022,6/2/2022
134,8/20/2022,12/20/2021
135,3/26/2022,6/6/2022
136,11/12/2022,3/12/2022
137,4/2/2022,8/11/2022
138,12/7/2022,7/21/2022
139,9/17/2022,5/12/2022
140,10/9/2022,11/24/2022
141,2/5/2022,3/16/2022
142,8/13/2022,8/19/2022
143,5/2/2022,9/11/2022
144,2/22/2022,4/4/2022
145,12/30/2021,6/14/2022
146,10/21/2022,1/5/2022
147,7/23/2022,2/5/2022
148,4/1/2022,4/22/2022
149,10/20/2022,8/27/2022
150,12/18/2021,7/8/2022
151,6/10/2022,12/5/2022
152,6/23/2022,5/6/2022
153,3/15/2022,8/12/2022
154,12/14/2022,6/12/2022
155,9/25/2022,3/20/2022
156,6/17/2022,3/18/2022
157,12/7/2022,6/26/2022
158,8/30/2022,12/17/2021
159,10/30/2022,8/29/2022
160,8/1/2022,12/13/2022
161,10/5/2022,10/3/2022
162,7/9/2022,8/5/2022
163,5/14/2022,5/14/2022
164,2/22/2022,12/28/2021
165,4/17/2022,7/13/2022
166,11/18/2022,4/8/2022
167,8/23/2022,12/20/2021
168,5/5/2022,9/17/2022
169,4/27/2022,11/14/2022
170,5/24/2022,2/19/2022
171,7/29/2022,4/21/2022
172,3/20/2022,4/24/2022
173,10/12/2022,3/13/2022
174,2/15/2022,11/3/2022
175,5/6/2022,8/8/2022
176,1/22/2022,11/28/2022
177,8/19/2022,11/18/2022
178,12/28/2021,7/14/2022
179,9/12/2022,11/5/2022
180,3/29/2022,2/19/2022
181,5/26/2022,4/25/2022
182,9/4/2022,6/23/2022
183,3/5/2022,2/5/2022
184,3/12/2022,8/29/2022
185,8/7/2022,12/9/2022
186,4/12/2022,8/13/2022
187,9/28/2022,9/23/2022
188,12/16/2021,2/11/2022
189,7/6/2022,3/9/2022
190,9/11/2022,5/10/2022
191,1/29/2022,10/6/2022
192,12/9/2022,12/28/2021
193,5/8/2022,11/16/2022
194,10/23/2022,5/9/2022
195,9/1/2022,9/27/2022
196,1/27/2022,4/19/2022
197,11/28/2022,10/9/2022
198,10/3/2022,9/21/2022
199,1/24/2022,4/8/2022
200,12/20/2021,6/21/2022
201,1/27/2022,4/22/2022
202,8/10/2022,8/1/2022
203,12/29/2021,7/6/2022
204,8/28/2022,2/18/2022
205,12/26/2021,7/9/2022
206,11/11/2022,1/13/2022
207,2/3/2022,1/5/2022
208,12/24/2021,6/18/2022
209,4/2/2022,7/28/2022
210,1/22/2022,11/3/2022
211,3/15/2022,7/14/2022
